event_id,country_name,iso3,hazard_code,hazard_label,hazard_class,metric,value,unit,as_of_date,publication_date,publisher,source_type,source_url,doc_title,definition_text,method,confidence,revision,ingested_at
GNB-FL-ifrcgo-17915,Guinea-Bissau,GNB,FL,Flood,natural,affected,2248,persons,2025-09-30,2025-09-30,IFRC,sitrep,,Gabu and Bafata flood,Extracted affected via num_affected from IFRC GO field report.,api,med,1,2025-10-01T12:30:41Z
THA-FL-ifrcgo-17896,Thailand,THA,FL,Flood,natural,affected,247477,persons,2025-09-24,2025-09-24,IFRC,sitrep,,Impact of Rakasa monsoon,Extracted affected via num_affected from IFRC GO field report.,api,med,1,2025-10-01T12:30:41Z
MYS-FL-ifrcgo-17890,Malaysia,MYS,FL,Flood,natural,affected,3134,persons,2025-09-18,2025-09-18,IFRC,sitrep,,Sabah Flood update,Extracted affected via num_affected from IFRC GO field report.,api,med,1,2025-10-01T12:30:41Z
MYS-FL-ifrcgo-17888,Malaysia,MYS,FL,Flood,natural,affected,1920,persons,2025-09-15,2025-09-15,IFRC,sitrep,,flood,Extracted affected via num_affected from IFRC GO field report.,api,med,1,2025-10-01T12:30:41Z
GMB-FL-ifrcgo-17887,"Gambia, The",GMB,FL,Flood,natural,affected,2640,persons,2025-09-12,2025-09-12,IFRC,sitrep,,The Gambia Flood 2025,Extracted affected via num_affected from IFRC GO field report.,api,med,1,2025-10-01T12:30:41Z
IDN-FL-ifrcgo-17886,Indonesia,IDN,FL,Flood,natural,affected,3711,persons,2025-09-11,2025-09-11,IFRC,sitrep,,Bali Floods,Extracted affected via num_affected from IFRC GO field report.,api,med,1,2025-10-01T12:30:41Z
SLE-FL-ifrcgo-17881,Sierra Leone,SLE,FL,Flood,natural,affected,1200,persons,2025-09-01,2025-09-01,IFRC,sitrep,,2025 Multiple Floods,Extracted affected via num_affected from IFRC GO field report.,api,med,1,2025-10-01T12:30:41Z
PAK-FL-ifrcgo-17873,Pakistan,PAK,FL,Flood,natural,affected,52276,persons,2025-08-27,2025-08-27,IFRC,sitrep,,Flash Flood,Extracted affected via num_affected from IFRC GO field report.,api,med,1,2025-10-01T12:30:41Z
NGA-FL-ifrcgo-17862,Nigeria,NGA,FL,Flood,natural,affected,16419,persons,2025-08-19,2025-08-19,IFRC,sitrep,,Nigeria Flood,Extracted affected via num_affected from IFRC GO field report.,api,med,1,2025-10-01T12:30:41Z
